iter	Logloss
0	0.6508590899
1	0.6105576705
2	0.5718524217
3	0.5432471367
4	0.5099779672
5	0.4874703338
6	0.4603472601
7	0.4384706693
8	0.4199541089
9	0.3982032203
10	0.3793169086
11	0.3628740709
12	0.3509429767
13	0.3411574765
14	0.3272514232
15	0.3140245003
16	0.3064083593
17	0.2955367679
18	0.2841806751
19	0.2738480829
20	0.2648063235
21	0.2557677585
22	0.248655553
23	0.2421217801
24	0.2364083043
25	0.2319459722
26	0.2288198805
27	0.2235845573
28	0.2188730626
29	0.2157094292
30	0.2115439762
31	0.2075748548
32	0.204971796
33	0.2023023651
34	0.1990423819
35	0.1958188674
36	0.1929880196
37	0.1897369528
38	0.1875257436
39	0.1850369641
40	0.1827048965
41	0.1806177112
42	0.1792276178
43	0.1777049111
44	0.1763268463
45	0.1750233132
46	0.1732066887
47	0.1716795618
48	0.1702359321
49	0.1693735376
50	0.1677635869
51	0.1666219532
52	0.1653923214
53	0.1644720489
54	0.1631427235
55	0.1622106747
56	0.1610015263
57	0.159926776
58	0.1592919
59	0.1583392522
60	0.1575714866
61	0.1567806054
62	0.1562152955
63	0.1556644958
64	0.1548692174
65	0.1542771067
66	0.1538115631
67	0.153395474
68	0.1529084311
69	0.1525325606
70	0.1519127206
71	0.1513806166
72	0.1510245072
73	0.1505776056
74	0.1499550526
75	0.1494599071
76	0.1488984137
77	0.1483428925
78	0.1477872614
79	0.1473635189
80	0.1469023993
81	0.1466670102
82	0.1462329428
83	0.1458574845
84	0.1455142563
85	0.1452414612
86	0.1449811692
87	0.1446967481
88	0.1443499349
89	0.1440637876
90	0.1437035984
91	0.1434161466
92	0.1431013116
93	0.1427754436
94	0.1425204333
95	0.1422490156
96	0.1417852289
97	0.1414783294
98	0.1410955601
99	0.1408670296
100	0.1405518844
101	0.1401972588
102	0.1399400263
103	0.1396979529
104	0.1395162153
105	0.139270195
106	0.1389556473
107	0.138751303
108	0.1384552457
109	0.1381335174
110	0.1378875279
111	0.1375802522
112	0.137353831
113	0.1371606028
114	0.1369895483
115	0.1367747493
116	0.1365861235
117	0.1362909686
118	0.1360614722
119	0.1359313003
120	0.1357162457
121	0.1355012009
122	0.1352216181
123	0.1349198815
124	0.1346798591
125	0.1344614435
126	0.1342316436
127	0.1339922759
128	0.1337885774
129	0.1335900337
130	0.1334222206
131	0.1332508525
132	0.1330339034
133	0.1329020031
134	0.1326346849
135	0.1325076606
136	0.1323216821
137	0.1321101667
138	0.131853144
139	0.1316601806
140	0.131406065
141	0.1312443632
142	0.1309515988
143	0.1307500656
144	0.1305262534
145	0.1302630484
146	0.1301032246
147	0.1298293388
148	0.1296871965
149	0.1293793081
150	0.1292309609
151	0.1289919392
152	0.1287877762
153	0.1285943562
154	0.1284495637
155	0.1282108007
156	0.1279647781
157	0.1278182053
158	0.1276619329
159	0.1274829843
160	0.1272472636
161	0.1270781838
162	0.1268636153
163	0.1267229047
164	0.1265565978
165	0.1263035003
166	0.1260982572
167	0.1259079399
168	0.125728187
169	0.1255430852
170	0.1254349906
171	0.1252618651
172	0.1250913399
173	0.1249264536
174	0.1246713937
175	0.124534272
176	0.1242533337
177	0.124097329
178	0.1238865799
179	0.1237349573
180	0.1235986686
181	0.1234274374
182	0.1232686496
183	0.1230971522
184	0.1229569837
185	0.1228252877
186	0.1226315146
187	0.1224309211
188	0.1223345719
189	0.1221529771
190	0.1219571895
191	0.1218623589
192	0.1217475048
193	0.121486555
194	0.1213735022
195	0.1211410639
196	0.1209954831
197	0.120857825
198	0.1207600969
199	0.1206425953
200	0.1204278847
201	0.1202759527
202	0.1201006823
203	0.1199102834
204	0.1197319766
205	0.1195817706
206	0.1194241068
207	0.119295862
208	0.1191371253
209	0.1189807092
210	0.1188661626
211	0.118744117
212	0.1185741131
213	0.1184656074
214	0.11825888
215	0.1181621758
216	0.1179802542
217	0.1178966555
218	0.1177944292
219	0.117613551
220	0.1174332171
221	0.1172876006
222	0.1170591868
223	0.1168660035
224	0.1166595612
225	0.1165260896
226	0.1163960575
227	0.1162775174
228	0.1160965441
229	0.1159778647
230	0.1158879555
